env,label,path,split
sketch,121,sketch/umbrella/sketch_329_000287.jpg,train
sketch,100,sketch/shoe/sketch_260_000068.jpg,train
sketch,54,sketch/foot/sketch_124_000173.jpg,train
sketch,48,sketch/eyeglasses/sketch_108_000151.jpg,val
sketch,98,sketch/see_saw/sketch_257_000145.jpg,train
sketch,80,sketch/peanut/sketch_215_000003.jpg,test
sketch,112,sketch/teapot/sketch_303_000181.jpg,train
sketch,84,sketch/penguin/sketch_219_000014.jpg,train
sketch,56,sketch/frog/sketch_126_000194.jpg,val
sketch,56,sketch/frog/sketch_126_000104.jpg,test
sketch,103,sketch/speedboat/sketch_276_000478.jpg,train
sketch,53,sketch/flower/sketch_122_000214.jpg,train
sketch,105,sketch/squirrel/sketch_282_000170.jpg,train
sketch,68,sketch/leaf/sketch_168_000100.jpg,val
sketch,68,sketch/leaf/sketch_168_000019.jpg,train
sketch,33,sketch/chandelier/sketch_070_000011.jpg,test
sketch,86,sketch/pillow/sketch_224_000096.jpg,test
sketch,54,sketch/foot/sketch_124_000239.jpg,train
sketch,46,sketch/dumbbell/sketch_101_000170.jpg,val
sketch,48,sketch/eyeglasses/sketch_108_000092.jpg,train
sketch,16,sketch/bus/sketch_048_000012.jpg,train
sketch,125,sketch/zebra/sketch_344_000068.jpg,test
sketch,46,sketch/dumbbell/sketch_101_000037.jpg,train
sketch,85,sketch/pig/sketch_223_000160.jpg,test
sketch,84,sketch/penguin/sketch_219_000056.jpg,train
sketch,121,sketch/umbrella/sketch_329_000023.jpg,val
sketch,81,sketch/pear/sketch_216_000181.jpg,test
sketch,58,sketch/goatee/sketch_131_000181.jpg,train
sketch,11,sketch/bird/sketch_032_000299.jpg,train
sketch,38,sketch/crab/sketch_083_000123.jpg,train
sketch,54,sketch/foot/sketch_124_000026.jpg,train
sketch,45,sketch/duck/sketch_100_000148.jpg,train
sketch,17,sketch/butterfly/sketch_050_000204.jpg,train
sketch,81,sketch/pear/sketch_216_000116.jpg,train
sketch,102,sketch/snake/sketch_270_000350.jpg,train
sketch,95,sketch/saxophone/sketch_251_000171.jpg,train
sketch,85,sketch/pig/sketch_223_000118.jpg,train
sketch,95,sketch/saxophone/sketch_251_000152.jpg,train
sketch,103,sketch/speedboat/sketch_276_000060.jpg,train
sketch,103,sketch/speedboat/sketch_276_000392.jpg,train
sketch,2,sketch/ant/sketch_007_000093.jpg,train
sketch,85,sketch/pig/sketch_223_000093.jpg,train
sketch,71,sketch/lobster/sketch_177_000022.jpg,train
sketch,76,sketch/mug/sketch_195_000046.jpg,train
sketch,105,sketch/squirrel/sketch_282_000101.jpg,train
sketch,117,sketch/tiger/sketch_312_000273.jpg,train
sketch,101,sketch/skateboard/sketch_264_000089.jpg,test
sketch,114,sketch/television/sketch_306_000103.jpg,test
sketch,4,sketch/asparagus/sketch_011_000053.jpg,train
